Timestamp,Post ID,Title,Status,Changes Made
2026-06-08T19:43:13.869713,nifty-midcap150-momentum-50-this-index-combines-mid-cap-potential-with-momentum-factor,Nifty Midcap150 Momentum 50: This index combines mid-cap potential with momentum factor,Success,Blocks/Media Fixed
2026-06-08T19:43:15.696971,utmost-concern-india-reacts-as-iran-israel-face-off-triggers-war-resumption-fears,"'Utmost Concern': India Reacts As Iran, Israel Face-Off Triggers War Resumption Fears",Success,Blocks/Media Fixed
2026-06-08T19:43:17.483179,8th-pay-commission-to-visit-leh-ladakh-on-june-9-fitment-factor-pension-issues-more-what-to-expect,"8th Pay Commission To Visit Leh-Ladakh On June 9: Fitment Factor, Pension Issues & More — What To Expect",Success,Blocks/Media Fixed
2026-06-08T19:43:19.282995,tata-mutual-fund-curbs-large-inflows-into-gold-etfs-amid-record-surge-in-demand,Tata Mutual Fund Curbs Large Inflows Into Gold ETFs Amid Record Surge in Demand,Success,Blocks/Media Fixed
2026-06-08T19:43:21.085410,peddi-box-office-collection-day-5-ram-charan-film-faces-weekday-slowdown-after-strong-weekend,Peddi Box Office Collection Day 5: Ram Charan Film Faces Weekday Slowdown After Strong Weekend,Success,Blocks/Media Fixed
2026-06-08T19:43:22.982468,apple-wwdc-2026-when-where-and-how-to-watch-apple-event-online,"Apple WWDC 2026: When, Where And How To Watch Apple Event Online",Success,Blocks/Media Fixed
2026-06-08T19:43:25.023473,india-china-should-stick-to-right-strategic-perception-of-being-cooperative-partners-not-rivals-beijing,"India, China should stick to 'right strategic perception' of being cooperative partners, not rivals: Beijing",Success,Blocks/Media Fixed
2026-06-08T19:43:26.955330,fire-breaks-out-on-an-oil-tanker-carrying-24-indian-seafarers-no-casualties-says-govt,"Fire breaks out on an oil tanker carrying 24 Indian seafarers; no casualties, says govt",Success,Blocks/Media Fixed
2026-06-08T19:43:28.815378,cm-lalduhoma-hails-air-as-vital-force-for-unity-among-mizo-ethnic-groups,CM Lalduhoma hails AIR as vital force for unity among Mizo ethnic groups,Success,Blocks/Media Fixed
2026-06-08T19:43:30.669373,as-tmc-crack-travels-to-delhi-mamata-looks-for-warmth-in-india-situationship-decoding-the-two-meets-today,"As TMC crack travels to Delhi, Mamata looks for warmth in INDIA situationship: Decoding the two meets today",Success,Blocks/Media Fixed
2026-06-08T19:43:32.489534,meeting-every-2-months-next-huddle-in-august-letter-to-cji-on-sir-key-takeaways-from-india-bloc-meet,"Meeting every 2 months, next huddle in August, letter to CJI on SIR: Key takeaways from INDIA bloc meet",Success,Blocks/Media Fixed
2026-06-08T19:43:34.321548,why-one-off-india-test-ended-after-afghanistan-lost-9th-wicket,Why One-Off India Test Ended After Afghanistan Lost 9th Wicket,Success,Blocks/Media Fixed
2026-06-08T19:43:36.218754,robots-could-soon-be-delivering-your-pizza,Robots could soon be delivering your pizza,Success,Blocks/Media Fixed
2026-06-08T19:43:38.122823,how-to-change-or-update-your-epf-nominee-online-step-by-step-process-here,How to change or update your EPF nominee online: Step-by-step process here,Success,Blocks/Media Fixed
2026-06-08T19:43:39.991406,mango-bonds-and-tree-renting-a-side-of-alphonso-in-your-portfolio,Mango bonds and tree renting: a side of Alphonso in your portfolio,Success,Blocks/Media Fixed
2026-06-08T19:43:41.878861,itr-filing-ay-2026-27-how-to-claim-tds-refund-while-filing-your-income-tax-return,ITR filing AY 2026-27: How to claim TDS refund while filing your income tax return,Success,Blocks/Media Fixed
2026-06-08T19:43:43.737147,hdfc-icici-prudential-and-nippon-are-restricting-gold-etf-inflows-here-s-why,"HDFC, ICICI Prudential and Nippon are restricting gold ETF inflows. Here's why",Success,Blocks/Media Fixed
2026-06-08T19:43:45.596432,actor-unni-mukundan-praises-kerala-govt-police-for-anti-drug-crackdown,"Actor Unni Mukundan praises Kerala govt, police for anti-drug crackdown",Success,Blocks/Media Fixed
2026-06-08T19:43:47.521800,immediately-de-escalate-india-condemns-fresh-attacks-in-west-asia-as-iran-israel-trade-strikes,"'Immediately de-escalate': India condemns fresh attacks in West Asia as Iran, Israel trade strikes",Success,Blocks/Media Fixed
2026-06-08T19:43:49.418188,first-time-in-93-years,First Time In 93 Years,Success,Blocks/Media Fixed
2026-06-08T19:43:51.302362,76-days-of-fuel-no-immediate-risk-oil-minister-hardeep-puri-bets-on-reserves-diversification-amid-global-disruption,"‘76 days of fuel, no immediate risk’: Oil minister Hardeep Puri bets on reserves, diversification amid global disruption",Success,Blocks/Media Fixed
2026-06-08T19:43:53.122841,direct-vs-regular-mutual-funds-meaning-key-differences-and-which-one-to-choose,"Direct vs regular mutual funds: Meaning, key differences and which one to choose",Success,Blocks/Media Fixed
2026-06-08T19:43:56.782849,16-tmc-mps-led-by-sukhendu-ray-and-kakoli-dastidar-meet-bengal-cm-suvendu-adhikari-amid-split-buzz,"16 TMC MPs, led by Sukhendu Ray and Kakoli Dastidar, meet Bengal CM Suvendu Adhikari amid split buzz",Success,Blocks/Media Fixed
2026-06-08T19:43:58.601513,iran-threatens-to-block-bab-al-mandab-heres-why-it-matters-to-global-trade,Iran threatens to block Bab al-Mandab; here’s why it matters to global trade,Success,Blocks/Media Fixed
2026-06-08T19:44:00.525670,one-dead-as-speeding-best-bus-rams-into-vehicles-during-rush-hour-horror-caught-on-camera,One dead as speeding BEST bus rams into vehicles during rush hour; horror caught on camera,Success,Blocks/Media Fixed
2026-06-08T19:44:02.398517,honestly-i-didn-t-want-to-join-rcb-rajat-patidar-now-2-time-ipl-winning-captain-with-franchise,"""Honestly, I Didn't Want To Join RCB"": Rajat Patidar, Now 2-Time IPL-Winning Captain With Franchise",Success,Blocks/Media Fixed
2026-06-08T19:44:04.256538,if-you-get-corporation-municipal-water-turn-off-your-ro-filter-immediately-here-s-what-you-need-instead,"If you get corporation/municipal water, turn off your RO filter immediately! Here's what you need instead",Success,Blocks/Media Fixed
2026-06-08T19:44:06.278011,thinking-about-buying-a-smartwatch-for-health-tracking-don-t-overlook-ecg-feature,Thinking about buying a smartwatch for health tracking? Don't overlook ECG feature,Success,Blocks/Media Fixed
2026-06-08T19:44:08.188597,hexagon-nutrition-ipo-gmp-today-what-does-latest-grey-market-signals-on-day-2-of-subscription,Hexagon Nutrition IPO GMP Today: What Does Latest Grey Market Signals On Day 2 Of Subscription,Success,Blocks/Media Fixed
2026-06-08T19:44:10.063458,indigo-shares-fall-after-analyst-meet-as-fy26-loss-slower-growth-guidance-weigh,"IndiGo Shares Fall After Analyst Meet As FY26 Loss, Slower Growth Guidance Weigh",Success,Blocks/Media Fixed
2026-06-08T19:44:13.602002,who-is-maridhas-tamil-nadu-youtuber-arrested-for-posting-videos-critical-of-tvk-government-chief-minister-vijay,"Who Is Maridhas? Tamil Nadu YouTuber Arrested For Posting Videos Critical Of TVK Government, Chief Minister Vijay",Success,Blocks/Media Fixed
2026-06-08T19:44:15.485379,pre-marital-relationship-no-stain-on-character-sc,Pre-marital relationship no stain on character: SC,Success,Blocks/Media Fixed
2026-06-08T19:44:17.283036,heavy-rain-alerts-in-kerala-more-showers-likely-in-delhi-as-southwest-monsoon-advances,Heavy rain alerts in Kerala; more showers likely in Delhi as Southwest monsoon advances,Success,Blocks/Media Fixed
2026-06-08T19:44:19.212506,delhi-high-court-issues-notice-in-nsui-plea-for-inquiry-into-cbses-osm-system,Delhi high court issues notice in NSUI plea for inquiry into CBSE’s OSM system,Success,Blocks/Media Fixed
2026-06-08T19:44:21.114770,sc-directs-execution-of-settlement-in-ardee-group-family-dispute,SC directs execution of settlement in Ardee group family dispute,Success,Blocks/Media Fixed
2026-06-08T19:44:22.953003,russian-attacks-kill-5-after-putin-rejects-zelenskyy-meet,Russian attacks kill 5 after Putin rejects Zelenskyy meet,Success,Blocks/Media Fixed
2026-06-08T19:44:24.837336,rafael-nadal-sachin-tendulkar-s-special-tribute-for-alexander-zverev-after-maiden-grand-slam-title,"Rafael Nadal, Sachin Tendulkar's Special Tribute For Alexander Zverev After Maiden Grand Slam Title",Success,Blocks/Media Fixed
2026-06-08T19:44:26.816904,bitcoin-rebounds-above-62000-as-buyers-return-at-lower-prices-despite-etf-outflow-concerns,"Bitcoin Rebounds Above $62,000 as Buyers Return at Lower Prices Despite ETF Outflow Concerns",Success,Blocks/Media Fixed
2026-06-08T19:44:28.661529,after-massive-poll-win-a-defeat-for-cm-vijay-in-chennai-against-a-grandmaster,"After massive poll win, a defeat for CM Vijay in Chennai — against a Grandmaster",Success,Blocks/Media Fixed
2026-06-08T19:44:30.613765,im-a-biker-and-have-rs50-lakh-i-asked-chatgpt-if-i-should-stop-going-to-office-and-travel-around,I’m a biker and have ₹50 lakh: I asked ChatGPT if I should stop going to office and travel around,Success,Blocks/Media Fixed
2026-06-08T19:44:32.576036,33-of-38-flexi-cap-funds-beat-the-nifty-500-but-most-investors-still-lost-money,"33 of 38 Flexi-cap funds beat the Nifty 500, but most investors still lost money",Success,Blocks/Media Fixed
2026-06-08T19:44:35.742499,eriksen-collapses-again-on-field-five-years-after-cardiac-arrest,"Eriksen Collapses Again On Field, Five Years After Cardiac Arrest",Success,Blocks/Media Fixed
2026-06-08T19:44:37.772820,us-iran-war-news-live-updates-israel-warns-of-third-iranian-missile-barrage-indians-advised-to-leave-iran,US-Iran War News Live Updates: Israel Warns Of Third Iranian Missile Barrage; Indians Advised To Leave Iran,Success,Blocks/Media Fixed
2026-06-08T19:44:39.721564,india-vs-west-indies-live-streaming-how-to-watch-icc-women-s-t20-world-cup-2026-warm-up-match-live,India vs West Indies Live Streaming: How To Watch ICC Women's T20 World Cup 2026 Warm-up Match Live?,Success,Blocks/Media Fixed
2026-06-08T19:44:41.649733,vijay-kedia-responds-to-elon-musk-s-india-birth-rate-concern-says-no-shortage-of-people-or-talent,"Vijay Kedia Responds To Elon Musk's India Birth-Rate Concern, Says 'No Shortage Of People Or Talent'",Success,Blocks/Media Fixed
2026-06-08T19:44:43.511751,why-trump-wants-to-buy-chagos-islands-now-amid-conflict-with-iran,Why Trump wants to buy Chagos islands now amid conflict with Iran,Success,Blocks/Media Fixed
2026-06-08T19:44:45.393440,iran-launches-operation-nasr-targets-2-israeli-airbases,"Iran launches ‘Operation Nasr’, targets 2 Israeli airbases",Success,Blocks/Media Fixed
2026-06-08T19:44:47.221499,setback-for-tmc-sukhendu-sekhar-ray-resigns-as-rajya-sabha-mp-quits-party,"Setback for TMC: Sukhendu Sekhar Ray resigns as Rajya Sabha MP, quits party",Success,Blocks/Media Fixed
2026-06-08T19:44:49.102897,keeping-up-with-up-why-congress-faces-toughest-challenge-despite-revival-signs,Keeping up with UP: Why Congress faces toughest challenge despite revival signs,Success,Blocks/Media Fixed
2026-06-08T19:44:50.962065,exit-by-india-issues-stark-advisory-for-citizens-in-iran-amid-fresh-israel-strikes,'Exit by...': India issues stark advisory for citizens in Iran amid fresh Israel strikes,Success,Blocks/Media Fixed
2026-06-08T19:44:52.784417,samsung-galaxy-s27-pro-leak-hints-at-display-size-tipped-to-launch-with-5000mah-battery,"Samsung Galaxy S27 Pro Leak Hints at Display Size, Tipped to Launch With 5,000mAh Battery",Success,Blocks/Media Fixed
2026-06-08T19:44:54.955709,amazon-mega-deal-days-sale-brings-discounts-on-iqoo-15r-vivo-x300-fe-oneplus-nord-ce-6-and-more,"Amazon Mega Deal Days Sale Brings Discounts on iQOO 15R, Vivo X300 FE, OnePlus Nord CE 6 and More",Success,Blocks/Media Fixed
2026-06-08T19:44:56.917749,apple-s-foldable-iphone-seen-in-new-images-of-dummy-units-that-reveal-design,Apple's Foldable iPhone Seen in New Images of Dummy Units That Reveal Design,Success,Blocks/Media Fixed
2026-06-08T19:44:58.871908,manav-suthar-scripts-history-with-6-33-on-test-debut-enters-elite-list,"Manav Suthar Scripts History With 6/33 On Test Debut, Enters Elite List",Success,Blocks/Media Fixed
2026-06-08T19:45:00.792473,pv-sindhu-eyes-title-breakthrough-ayush-shetty-leads-men-s-challenge-at-australian-open,"PV Sindhu Eyes Title Breakthrough, Ayush Shetty Leads Men's Challenge At Australian Open",Success,Blocks/Media Fixed
2026-06-08T19:45:02.673005,the-credit-card-debt-trap-how-a-1-lakh-bill-can-spiral-out-of-control,The credit card debt trap: How a ₹1 lakh bill can spiral out of control,Success,Blocks/Media Fixed
2026-06-08T19:45:04.561360,should-i-start-a-side-hustle-to-earn-20000-extra-every-month-i-asked-chatgpt-ai-asks-me-to-do-this-90-day-experiment,"Should I start a side hustle to earn ₹20,000 extra every month? I asked ChatGPT; AI asks me to do this 90-day experiment",Success,Blocks/Media Fixed
2026-06-08T19:45:06.501346,india-s-biggest-health-crisis-isn-t-physical-it-s-financial-what-new-study-reveals,India's biggest health crisis isn't physical—it's financial – What new study reveals,Success,Blocks/Media Fixed
2026-06-08T19:45:08.441200,inox-india-nelco-dividend-record-date-last-day-to-buy-shares-to-qualify,"INOX India, Nelco Dividend Record Date: Last Day To Buy Shares To Qualify",Success,Blocks/Media Fixed
2026-06-08T19:45:13.291597,apple-wwdc-2026-ios-27-siri-overhaul-hardware-teases-keynote-time-how-to-watch-all-you-need-to-know,"Apple WWDC 2026: iOS 27, Siri Overhaul, Hardware Teases, Keynote Time, How To Watch — All You Need To Know",Success,"Blocks/Media Fixed, SEO Meta Added, Keywords Added"
2026-06-08T19:45:15.359050,israel-and-iran-trade-strikes-as-conflict-escalates-idf-hits-petrochemical-sites-in-mahshahr,Israel and Iran trade strikes as conflict escalates; IDF hits petrochemical sites in Mahshahr,Success,Blocks/Media Fixed
2026-06-08T19:45:17.272609,physicswallah-shares-jump-6-in-trade-here-s-what-s-behind-the-rally,Physicswallah Shares Jump 6% In Trade: Here's What's Behind The Rally,Success,Blocks/Media Fixed
2026-06-08T19:45:19.093319,tmc-leader-jahangir-khan-arrested-near-india-nepal-border-in-extortion-case,TMC leader Jahangir Khan arrested near India-Nepal border in extortion case,Success,Blocks/Media Fixed
2026-06-08T19:45:20.933862,3-reasons-why-vijay-led-tvk-will-not-be-a-part-of-today-s-india-bloc-meeting,3 reasons why Vijay-led TVK will not be a part of today's INDIA bloc meeting,Success,Blocks/Media Fixed
2026-06-08T19:45:22.989817,why-indian-market-is-relatively-unscathed-from-global-jitters-today,Why Indian Market Is Relatively Unscathed From Global Jitters Today,Success,Blocks/Media Fixed
2026-06-08T19:45:24.961619,you-think-i-should-stop-harmanpreet-kaur-counters-reporter-on-last-world-cup-question,"""You Think I Should Stop?"" Harmanpreet Kaur Counters Reporter On 'Last World Cup' Question",Success,Blocks/Media Fixed
2026-06-08T19:45:26.982596,home-loan-rates-in-june-after-rbi-policy-sbi-hdfc-pnb-and-others-compared-who-is-offering-the-cheapest-loan,"Home loan rates in June after RBI policy: SBI, HDFC, PNB and others compared – Who is offering the cheapest loan?",Success,Blocks/Media Fixed
2026-06-08T19:45:28.952716,suraj-hegde-aicc-functionary-and-karnataka-leader-dies-of-cardiac-arrest-at-55,"Suraj Hegde, AICC functionary and Karnataka leader, dies of cardiac arrest at 55",Success,Blocks/Media Fixed
2026-06-08T19:45:30.842846,odisha-womans-remains-exhumed-26-days-after-disappearance-boyfriend-held,Odisha woman’s remains exhumed 26 days after disappearance; boyfriend held,Success,Blocks/Media Fixed
2026-06-08T19:45:32.856469,gold-and-silver-prices-today-8-june-check-retail-rates-of-24k-22k-gold-and-999-silver-in-delhi-mumbai-other-cities,"Gold and silver prices today, 8 June: Check retail rates of 24K, 22K gold and 999 silver in Delhi, Mumbai, other cities",Success,Blocks/Media Fixed
2026-06-08T19:45:34.924477,i-asked-chatgpt-to-assign-every-rupee-of-my-salary-a-job-ai-suggests-zero-based-budgeting,I asked ChatGPT to assign every rupee of my salary a job: AI suggests zero-based budgeting,Success,Blocks/Media Fixed
2026-06-08T19:45:36.907944,silver-rate-today-mcx-silver-prices-fall-by-over-rs-5000-to-below-rs-243100-amid-heightened-geopolitical-tensions,"Silver Rate Today: MCX Silver Prices Fall By Over Rs 5,000 To Below Rs 2,43,100 Amid Heightened Geopolitical Tensions",Success,Blocks/Media Fixed
2026-06-08T19:45:38.871292,adani-ports-bags-rs-666-crore-10-year-marine-services-contract-for-argentina-s-first-lng-export-to-india,Adani Ports Bags Rs 666 Crore 10-Year Marine Services Contract For Argentina's First LNG Export to India,Success,Blocks/Media Fixed
2026-06-08T19:45:40.768147,ather-energy-up-3-as-fuel-price-hike-nearly-doubles-may-sales,Ather Energy Up 3% As Fuel Price Hike Nearly Doubles May Sales,Success,Blocks/Media Fixed
2026-06-08T19:45:42.703607,weekly-public-transport-day-launched-in-bkc-to-cut-traffic-emissions,"Weekly 'Public Transport Day' Launched In BKC To Cut Traffic, Emissions",Success,Blocks/Media Fixed
2026-06-08T19:45:54.561030,lewis-hamilton-seals-monaco-grand-prix-podium-finish-with-a-kiss-for-kim-kardashian,Lewis Hamilton Seals Monaco Grand Prix Podium Finish With A Kiss For Kim Kardashian,Success,"Blocks/Media Fixed, SEO Meta Added, Keywords Added"
2026-06-08T19:45:56.533564,iran-football-team-reaches-tijuana-ahead-of-fifa-world-cup-amid-visa-delays-and-us-tensions,Iran Football Team Reaches Tijuana Ahead Of FIFA World Cup Amid Visa Delays And US Tensions,Success,Blocks/Media Fixed
2026-06-08T19:45:58.911143,india-vs-afghanistan-live-score-one-off-test-day-3-rahmat-shah-hits-50-shubman-gill-makes-big-blunder,"India vs Afghanistan LIVE Score, One-Off Test Day 3: Rahmat Shah Hits 50; Shubman Gill Makes Big Blunder",Success,Blocks/Media Fixed
2026-06-08T19:46:01.331015,bitcoin-rebounds-above-63000-after-18-plunge-last-week-has-the-crypto-selloff-run-its-course-what-next,"Bitcoin rebounds above $63,000 after 18% plunge last week. Has the crypto selloff run its course? What next?",Success,Blocks/Media Fixed
2026-06-08T19:46:03.643155,digital-arrest-scam-fake-ed-officers-dupe-retired-government-employee-of-87-lakh-in-nagpur-5-warning-signs-to-know,Digital arrest scam: Fake ED officers dupe retired government employee of ₹87 lakh in Nagpur– 5 warning signs to know,Success,Blocks/Media Fixed
2026-06-08T19:46:05.963887,nvidia-ceo-says-selloff-in-tech-stocks-is-a-buying-opportunity,Nvidia CEO Says Selloff In Tech Stocks Is A Buying Opportunity,Success,Blocks/Media Fixed
2026-06-08T19:46:08.182153,telangana-accident-private-bus-overturns-on-railway-bridge-in-khammam-district-22-injured,"Telangana Accident: Private Bus Overturns On Railway Bridge In Khammam District, 22 Injured",Success,Blocks/Media Fixed
2026-06-08T19:46:10.814666,stock-market-crash-news-today-live-updates-sensex-drops-800-points-nifty-50-opens-sharply-lower,"Stock Market Crash News Today Live Updates: Sensex Drops 800 Points, Nifty 50 Opens Sharply Lower",Success,Blocks/Media Fixed
2026-06-08T19:46:13.192449,gold-rate-today-mcx-gold-prices-tank-over-rs-1800-to-below-rs-154000-after-iran-and-israel-engage-in-missile-attacks,"Gold Rate Today: MCX Gold Prices Tank Over Rs 1,800 To Below Rs 1,54,000 After Iran And Israel Engage In Missile Attacks",Success,Blocks/Media Fixed
2026-06-08T19:46:15.712370,what-supreme-courts-proposed-regulations-for-ai-use-in-courts-mean,What Supreme Court’s proposed regulations for AI use in courts mean,Success,Blocks/Media Fixed
2026-06-08T19:46:18.221309,orange-yellow-alerts-in-kerala-as-heavy-rain-continues-to-lash-state-check-imd-forecast,"Orange, yellow alerts in Kerala as heavy rain continues to lash state | Check IMD forecast",Success,Blocks/Media Fixed
2026-06-08T19:46:20.621422,nepal-wants-border-disputes-settled-through-existing-mechanisms-rejects-mediation,Nepal wants border disputes settled through existing mechanisms; rejects mediation,Success,Blocks/Media Fixed
2026-06-08T19:46:22.892545,tvk-is-dmk-2-0-in-a-refreshed-and-new-package-tamil-nadu-bjp-secretary,TVK is DMK 2.0 in a refreshed and new package: Tamil Nadu BJP secretary,Success,Blocks/Media Fixed
2026-06-08T19:46:25.258132,trump-rejects-unfreezing-iranian-assets-or-lifting-sanctions-upfront-as-part-of-deal,"Trump rejects unfreezing Iranian assets, or lifting sanctions upfront as part of deal",Success,Blocks/Media Fixed
2026-06-08T19:46:27.801443,alexander-zverev-vs-flavio-cobolli-live-score-french-open-2026-final-cobolli-takes-second-set-6-4-makes-it-1-all-vs-zverev,"Alexander Zverev vs Flavio Cobolli LIVE Score, French Open 2026 Final: Cobolli Takes Second Set 6-4, Makes It 1 All vs Zverev",Success,Blocks/Media Fixed
2026-06-08T19:46:30.186101,why-trumps-ex-advisor-john-bolton-is-pleading-guilty-in-classified-documents-case,Why Trump’s ex-advisor John Bolton is pleading guilty in classified documents case,Success,Blocks/Media Fixed
2026-06-08T19:46:32.461426,india-will-resist-such-efforts-putin-backs-new-delhi-amid-us-pressure-over-russian-oil,‘India will resist such efforts’: Putin backs New Delhi amid ‘US pressure’ over Russian oil,Success,Blocks/Media Fixed
2026-06-08T19:46:34.831051,muddy-site-worker-s-legs-crushed-3-bodies-what-we-know-so-far-about-faridabad-s-deadly-crane-collapse,"Muddy site, worker's legs crushed, 3 bodies: What we know so far about Faridabad's deadly crane collapse",Success,Blocks/Media Fixed
2026-06-08T19:46:37.206059,when-reinvestment-fails-a-look-at-the-tax-implications-of-unused-capital-gains-account-scheme-funds,When reinvestment fails: A look at the tax implications of unused Capital Gains Account Scheme funds,Success,Blocks/Media Fixed
2026-06-08T19:46:39.689496,can-occasional-smoking-raise-your-health-insurance-premium-here-s-what-experts-say,Can occasional smoking raise your health insurance premium? Here's what experts say,Success,Blocks/Media Fixed
2026-06-08T19:46:42.026238,flexi-cap-vs-focused-funds-diversification-comfort-vs-conviction-risk,Flexi-Cap vs Focused Funds: Diversification comfort vs conviction risk,Success,Blocks/Media Fixed
2026-06-08T19:46:44.381664,why-is-trumps-son-in-law-jared-kushners-resort-plan-triggering-political-storm-in-albania,Why is Trump’s son-in-law Jared Kushner’s resort plan triggering political storm in Albania,Success,Blocks/Media Fixed
2026-06-08T19:46:46.636612,man-flees-after-allegedly-strangling-wife-to-death-in-gurugram-manhunt-underway,Man flees after allegedly strangling wife to death in Gurugram; manhunt underway,Success,Blocks/Media Fixed
2026-06-08T19:46:49.028526,man-accused-of-religious-conversions-in-rajasthan-assaulted-by-right-wing-group,"Man accused of religious conversions in Rajasthan, assaulted by right-wing group",Success,Blocks/Media Fixed
2026-06-08T19:46:51.381176,malviya-nagar-hotel-owner-showed-delhi-mai-sab-chalta-hai-attitude-uncooperative-during-investigation-claim-cops,"Malviya Nagar hotel owner showed ‘Delhi mai sab chalta hai’ attitude, ‘uncooperative’ during investigation, claim cops",Success,Blocks/Media Fixed
2026-06-08T19:46:55.597221,7-year-old-girl-abducted-at-night-raped-in-up-s-mathura-accused-arrested,"7-year-old girl abducted at night, raped in UP's Mathura; accused arrested",Success,Blocks/Media Fixed
2026-06-08T19:46:57.951470,nepal-fm-shisir-khanal-to-arrive-in-delhi-on-friday-hold-key-talks-with-jaishankar,"Nepal FM Shisir Khanal to arrive in Delhi on friday, hold key talks with Jaishankar",Success,Blocks/Media Fixed
2026-06-08T19:47:00.351275,uns-el-nino-warning-amid-heatwave-how-the-climate-pattern-affected-india-before,UN’s El Nino warning amid heatwave: How the climate pattern affected India before,Success,Blocks/Media Fixed
2026-06-08T19:47:02.877580,parliamentary-debut-for-pawan-khera-congress-releases-list-of-candidates-of-rajya-sabha-polls,Parliamentary debut for Pawan Khera: Congress releases list of candidates of Rajya Sabha polls,Success,Blocks/Media Fixed
